image_folder,image,folder,voucher_prefix,imag_numbers,IMG_,Dorsal,Ventral,.JPG,image_path1,image_path2,status,family,subfamily,tribe,subtribe,genus,species,genus_species,subspecies,voucher,number_specimens,sex,country,ADM1,ADM2,site_specific,locality_general,elev_min,elev_max,elev_unit,lat_deg,lat_min,lat_sec,lat_ort,lon_deg,lon_min,lon_sec,lon_ort,Date,Day,month_,Year,collector,genitalia_dissection,collection,record_status,comments_public,comments_private,databaser,DNA_voucher,other_prep,Full Path Merged 1,Full Path Merged 2,,,,,,,Image_quality,Reason why,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,891,190",IMG_,1189,1190,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1189.JPG,Battus philenor/Kailee Stover/20230410/IMG_1190.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142806,1,male,USA,North Carolina,N/A,Sylva,Jackson Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,29,Apr,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1189.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231020T203215Z-011/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1190.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,921,193",IMG_,1192,1193,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1192.JPG,Battus philenor/Kailee Stover/20230410/IMG_1193.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142808,1,male,USA,North Carolina,N/A,Sylva,Jackson Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,5,Jun,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1192.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1193.JPG,,,,,,,No,Damage to lower left wing tip,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,941,195",IMG_,1194,1195,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1194.JPG,Battus philenor/Kailee Stover/20230410/IMG_1195.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142809,1,male,USA,Virginia,N/A,Blue Ridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,9,Aug,1960,N/A,N/A,FLMNH,valid,mile 78',N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1194.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1195.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,961,197",IMG_,1196,1197,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1196.JPG,Battus philenor/Kailee Stover/20230410/IMG_1197.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142810,1,male,USA,North Carolina,N/A,Great Smoky Mountains,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,8,Sep,1978,"Mandeley, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1196.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1197.JPG,,,,,,,No,Damage to lower right wing tip,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"11,981,199",IMG_,1198,1199,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1198.JPG,Battus philenor/Kailee Stover/20230410/IMG_1199.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142811,1,male,USA,North Carolina,N/A,jet I-85 & Ca Rd 114,Orange Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,12,Aug,1969,N/A,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1198.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1199.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,001,201",IMG_,1200,1201,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1200.JPG,Battus philenor/Kailee Stover/20230410/IMG_1201.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142812,1,female,USA,Virginia,N/A,"Highway 160, Inman",Wise Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,21,Jul,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1200.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1201.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,021,203",IMG_,1202,1203,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1202.JPG,Battus philenor/Kailee Stover/20230410/IMG_1203.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142813,1,female,USA,Virginia,N/A,Poverty Hollow,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,5,Aug,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1202.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1203.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,041,205",IMG_,1204,1205,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1204.JPG,Battus philenor/Kailee Stover/20230410/IMG_1205.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142814,1,female,USA,Virginia,N/A,Poverty Hollow,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,6,Aug,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1204.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1205.JPG,,,,,,,No,Significant damage to right wing,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,061,207",IMG_,1206,1207,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1206.JPG,Battus philenor/Kailee Stover/20230410/IMG_1207.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142815,1,female,USA,Virginia,N/A,Blacksburg,Montgomery Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,17,Jul,1978,"Zalias, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1206.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1207.JPG,,,,,,,No,Damage to lower right wing tip,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,081,209",IMG_,1208,1209,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1208.JPG,Battus philenor/Kailee Stover/20230410/IMG_1209.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142816,1,female,USA,Pennsylvania,N/A,Wall,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,Chermock,N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1208.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1209.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,101,211",IMG_,1210,1211,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1210.JPG,Battus philenor/Kailee Stover/20230410/IMG_1211.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142817,1,male,USA,Tennessee,N/A,Hawkins Co.,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,N/A,N/A,20,May,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1210.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1211.JPG,,,,,,,No,Damage to lower left wing tip,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,121,213",IMG_,1212,1213,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1212.JPG,Battus philenor/Kailee Stover/20230410/IMG_1213.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142818,1,male,USA,Tennessee,N/A,Hawkins Co.,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,N/A,N/A,2,Jul,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1212.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1213.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,141,215",IMG_,1214,1215,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1214.JPG,Battus philenor/Kailee Stover/20230410/IMG_1215.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142819,1,male,USA,Tennessee,N/A,Gatlinburg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,29,May,1972,"Grothe, R.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1214.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1215.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,161,217",IMG_,1216,1217,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1216.JPG,Battus philenor/Kailee Stover/20230410/IMG_1217.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142820,1,male,USA,Tennessee,N/A,Hawkins Co.,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,N/A,N/A,2,Jul,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1216.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1217.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,181,219",IMG_,1218,1219,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1218.JPG,Battus philenor/Kailee Stover/20230410/IMG_1219.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142821,1,male,USA,Tennessee,N/A,Hawkins Co.,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,N/A,N/A,2,Jul,1978,"Hyatt, J.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1218.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1219.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,201,221",IMG_,1220,1221,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1220.JPG,Battus philenor/Kailee Stover/20230410/IMG_1221.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142822,1,male,USA,Louisiana,N/A,Camp Poik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,9,Jul,1946,"Jae, R.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1220.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1221.JPG,,,,,,,Yes,N/A,,,,,,
Kailee Stover\20230410,Kailee Stover,20230410,FLMNH-MGCL,"12,221,223",IMG_,1222,1223,.JPG,Battus philenor/Kailee Stover/20230410/IMG_1222.JPG,Battus philenor/Kailee Stover/20230410/IMG_1223.JPG,valid,Papilionidae,Papilioninae,Troidini,N/A,Battus,philenor,Battus philenor,acauda,1142823,1,male,USA,Missouri,N/A,Maramac Park,Phelps Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,W,N/A,12,Sep,1977,"Grothe, R.",N/A,FLMNH,valid,N/A,N/A,Gwynn Munger,N/A,N/A,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1222.JPG,/project/samc/battus_compvis/UFLMH_data/UF_museum_data_2023-20231023T162947Z-007/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1223.JPG,,,,,,,Yes,N/A,,,,,,
